time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-01-01,7.8,6.9,9.1,0.0,0.0,10.0,13.0,,1031.8,
2016-01-02,7.1,5.8,8.5,5.1,0.0,,3.6,,1030.3,
2016-01-03,9.4,5.2,16.9,0.0,0.0,294.0,5.4,,1026.2,
2016-01-04,8.3,3.0,14.6,0.0,0.0,26.0,5.8,,1026.9,
2016-01-05,7.8,2.4,13.5,0.0,0.0,79.0,5.0,,1025.4,
2016-01-06,9.7,8.0,11.9,3.3,0.0,,4.7,,,
2016-01-07,13.9,9.6,23.0,0.0,0.0,,3.2,,1011.9,
2016-01-08,12.7,6.9,19.1,0.0,0.0,,4.0,,1008.4,
2016-01-09,9.4,3.5,14.6,0.0,0.0,320.0,13.7,,,
2016-01-10,4.8,0.8,10.2,0.0,0.0,12.0,6.8,,1025.9,
2016-01-11,6.2,1.3,13.5,0.0,0.0,,1.8,,1024.6,
2016-01-12,9.2,1.3,19.1,0.0,0.0,,3.6,,1025.4,
2016-01-13,11.1,3.5,19.1,0.0,0.0,,3.6,,1022.0,
2016-01-14,14.1,8.5,21.3,0.0,0.0,195.0,4.3,,1012.4,
2016-01-15,14.8,9.1,21.3,0.0,0.0,,5.0,,1008.6,
2016-01-16,9.7,6.3,18.0,0.0,0.0,,7.6,,1013.2,
2016-01-17,7.4,0.2,14.1,0.0,0.0,,5.0,,1022.1,
2016-01-18,8.1,2.4,15.2,0.0,0.0,,2.9,,1026.6,
2016-01-19,13.0,6.3,20.8,0.0,0.0,,6.5,,,
2016-01-20,11.1,7.4,14.1,0.0,0.0,,6.8,,1019.7,
2016-01-21,12.9,6.3,18.0,0.3,0.0,,10.8,,1016.2,
2016-01-22,7.1,3.0,12.4,0.0,0.0,332.0,12.2,,1026.0,
2016-01-23,6.8,-0.3,14.1,0.0,0.0,,4.3,,1025.4,
2016-01-24,11.5,1.9,21.3,0.0,0.0,181.0,8.6,,1017.0,
2016-01-25,17.6,13.5,24.1,0.0,0.0,,6.8,,,
2016-01-26,10.4,6.3,14.6,0.0,0.0,24.0,15.5,,1021.8,
2016-01-27,8.1,2.4,15.2,0.0,0.0,,7.6,,1026.6,
2016-01-28,10.1,0.2,21.9,0.0,0.0,,3.6,,1021.9,
2016-01-29,14.5,3.5,24.6,0.0,0.0,229.0,6.8,,1016.9,
2016-01-30,16.4,8.0,25.2,0.0,0.0,192.0,9.4,,1011.7,
2016-01-31,20.2,14.6,30.2,0.0,0.0,,7.9,,1009.0,
2016-02-01,18.3,12.4,25.2,0.0,0.0,134.0,12.2,,,
2016-02-02,16.8,10.8,22.4,0.0,0.0,294.0,10.4,,1008.1,
2016-02-03,9.5,4.1,14.6,0.0,0.0,353.0,10.4,,1021.8,
2016-02-04,7.5,1.3,15.2,0.0,0.0,,4.3,,1031.3,
2016-02-05,9.2,0.8,16.9,0.0,0.0,152.0,7.2,,1029.1,
2016-02-06,10.8,4.1,16.3,0.0,0.0,326.0,10.8,,1027.5,
2016-02-07,9.6,0.2,20.2,0.0,0.0,204.0,5.4,,1023.9,
2016-02-08,12.2,8.0,18.5,0.0,0.0,333.0,13.7,,1026.9,
2016-02-09,12.5,4.1,23.5,0.0,0.0,,9.0,,1026.8,
2016-02-10,13.8,3.5,23.5,0.0,0.0,,5.4,,1026.0,
2016-02-11,19.3,11.3,28.5,0.0,0.0,202.0,7.9,,1019.9,
2016-02-12,17.9,8.5,26.3,0.0,0.0,,5.4,,1022.7,
2016-02-13,17.0,11.3,24.1,0.0,0.0,,10.1,,1024.5,
2016-02-14,17.6,14.1,24.1,0.0,0.0,191.0,9.7,,,
2016-02-15,17.9,10.2,23.5,0.0,0.0,339.0,7.6,,1011.8,
2016-02-16,17.5,6.3,28.0,0.0,0.0,280.0,6.1,,1015.2,
2016-02-17,17.2,10.2,24.1,0.0,0.0,108.0,9.0,,1022.4,
2016-02-18,18.5,12.4,26.3,0.0,0.0,175.0,14.4,,1021.1,
2016-02-19,21.3,18.0,27.4,0.0,0.0,182.0,13.3,,1018.7,
2016-02-20,20.8,19.1,24.6,0.0,0.0,183.0,10.1,,1016.8,
2016-02-21,19.8,18.5,21.9,0.3,0.0,,5.0,,,
2016-02-22,17.8,14.1,22.4,0.0,0.0,,6.5,,1011.9,
2016-02-23,12.9,8.5,16.3,33.8,0.0,321.0,14.8,,,
2016-02-24,11.4,5.8,18.5,0.0,0.0,,10.4,,1021.8,
2016-02-25,12.1,3.5,20.8,0.0,0.0,347.0,7.9,,1026.0,
2016-02-26,11.6,5.2,18.0,0.0,0.0,,5.4,,1029.6,
2016-02-27,14.7,5.8,23.0,0.0,0.0,200.0,7.6,,1024.0,
2016-02-28,18.1,13.0,25.8,0.0,0.0,193.0,11.2,,1017.1,
2016-02-29,20.4,16.9,25.2,0.0,0.0,193.0,9.4,,1016.6,
2016-03-01,21.1,15.2,27.4,0.0,0.0,283.0,12.6,,1016.5,
2016-03-02,17.6,9.6,25.8,0.0,0.0,134.0,9.0,,1018.6,
2016-03-03,22.5,16.9,28.5,0.0,0.0,339.0,11.9,,1014.3,
2016-03-04,16.9,7.4,24.6,0.0,0.0,114.0,6.5,,1020.1,
2016-03-05,19.1,14.1,26.3,0.0,0.0,,9.4,,1020.2,
2016-03-06,18.7,14.6,25.2,0.0,0.0,160.0,13.7,,1017.8,
2016-03-07,20.7,18.0,24.6,0.3,0.0,158.0,17.3,,1009.5,
2016-03-08,22.8,20.2,28.5,5.6,0.0,160.0,15.1,,1004.6,
2016-03-09,16.1,15.2,21.9,55.4,0.0,35.0,12.6,,,
2016-03-10,16.4,14.6,18.0,10.2,0.0,8.0,12.2,,1011.5,
2016-03-11,17.6,15.2,21.9,9.1,0.0,,5.0,,,
2016-03-12,17.8,14.1,23.5,0.0,0.0,,5.8,,1012.0,
2016-03-13,19.2,13.5,29.6,0.0,0.0,,6.5,,,
2016-03-14,23.5,12.4,33.5,0.0,0.0,243.0,8.3,,1008.7,
2016-03-15,24.8,19.6,33.5,0.0,0.0,229.0,9.0,,1008.3,
2016-03-16,21.3,16.3,27.4,0.0,0.0,97.0,7.9,,1013.6,
2016-03-17,22.2,19.6,26.3,0.5,0.0,,6.1,,1010.7,
2016-03-18,21.5,13.5,26.3,1.8,0.0,,7.2,,,
2016-03-19,13.2,8.5,16.9,0.0,0.0,5.0,16.9,,1020.9,
2016-03-20,11.7,5.8,18.0,0.0,0.0,3.0,8.6,,1028.9,
2016-03-21,11.2,1.9,20.2,0.0,0.0,,6.5,,1028.6,
2016-03-22,16.3,7.4,25.8,0.0,0.0,190.0,14.0,,1018.3,
2016-03-23,21.5,18.5,28.0,1.3,0.0,173.0,14.8,,1008.7,
2016-03-24,16.4,9.1,21.3,3.8,0.0,347.0,12.2,,1014.1,
2016-03-25,14.3,5.2,23.0,0.0,0.0,,6.1,,1014.3,
2016-03-26,16.3,9.1,23.5,0.0,0.0,163.0,6.1,,1012.3,
2016-03-27,18.7,13.5,23.5,0.0,0.0,,7.9,,1016.6,
2016-03-28,16.5,9.1,24.1,0.0,0.0,,6.5,,1019.2,
2016-03-29,18.6,14.6,20.8,0.5,0.0,,9.4,,,
2016-03-30,22.0,20.2,25.2,0.8,0.0,169.0,11.5,,1006.3,
2016-03-31,24.2,19.1,30.2,0.0,0.0,23.0,7.9,,1004.5,
2016-04-01,14.7,10.8,19.1,8.6,0.0,19.0,12.6,,,
2016-04-02,14.6,7.4,23.5,0.0,0.0,,7.6,,1023.8,
2016-04-03,16.3,6.9,26.3,0.0,0.0,,4.0,,1022.0,
2016-04-04,19.9,11.9,28.5,0.0,0.0,192.0,6.8,,1020.8,
2016-04-05,20.1,11.9,28.0,0.0,0.0,196.0,7.9,,1020.7,
2016-04-06,20.6,13.0,28.0,0.0,0.0,,9.0,,1017.1,
2016-04-07,19.8,9.1,29.6,0.0,0.0,223.0,4.0,,1016.3,
2016-04-08,20.4,13.0,26.9,0.0,0.0,,6.5,,1019.5,
2016-04-09,19.5,14.6,25.2,0.5,0.0,,8.3,,1018.3,
2016-04-10,21.5,18.5,26.3,0.0,0.0,176.0,12.6,,1013.8,
2016-04-11,24.9,21.3,31.9,0.0,0.0,,8.6,,1011.6,
2016-04-12,19.4,16.9,23.0,30.2,0.0,32.0,11.2,,1016.9,
2016-04-13,18.2,14.6,22.4,10.2,0.0,19.0,6.8,,1016.1,
2016-04-14,17.8,12.4,25.2,0.0,0.0,,6.5,,1015.0,
2016-04-15,19.5,12.4,26.3,0.0,0.0,,7.9,,1011.3,
2016-04-16,20.6,18.0,24.1,6.4,0.0,139.0,12.6,,1010.0,
2016-04-17,21.2,18.0,25.8,34.0,0.0,104.0,9.7,,,
2016-04-18,20.1,17.4,24.1,28.7,0.0,,6.5,,1016.7,
2016-04-19,21.1,16.9,27.4,0.0,0.0,,3.2,,,
2016-04-20,21.4,15.8,27.4,14.7,0.0,,5.8,,1014.4,
2016-04-21,21.0,15.8,28.5,10.4,0.0,45.0,7.6,,,
2016-04-22,22.1,15.8,29.1,0.0,0.0,,6.1,,1017.9,
2016-04-23,21.3,13.0,28.5,0.0,0.0,,4.3,,1016.9,
2016-04-24,21.5,17.4,26.3,0.0,0.0,155.0,9.7,,1011.3,
2016-04-25,25.5,21.3,31.3,0.0,0.0,173.0,11.5,,,
2016-04-26,25.1,22.4,30.2,0.0,0.0,167.0,14.4,,1004.7,
2016-04-27,23.8,16.9,32.4,13.7,0.0,,7.6,,,
2016-04-28,24.0,17.4,30.8,0.0,0.0,129.0,10.4,,,
2016-04-29,26.0,24.1,29.1,0.0,0.0,161.0,11.5,,,
2016-04-30,24.4,19.1,30.2,23.4,0.0,,7.2,,1005.2,
2016-05-01,21.8,19.1,25.8,0.0,0.0,22.0,10.8,,1011.6,
2016-05-02,17.5,14.1,21.3,0.0,0.0,353.0,10.8,,1017.9,
2016-05-03,18.7,13.0,25.8,0.0,0.0,6.0,5.8,,1018.4,
2016-05-04,21.7,12.4,30.8,0.0,0.0,,7.9,,1017.3,
2016-05-05,23.6,15.2,31.9,0.0,0.0,,5.8,,1016.3,
2016-05-06,22.6,13.5,30.2,0.0,0.0,,4.7,,1016.8,
2016-05-07,22.8,15.8,29.6,0.0,0.0,168.0,10.4,,1014.7,
2016-05-08,21.5,19.6,23.0,2.8,0.0,170.0,12.6,,1010.6,
2016-05-09,24.9,19.6,30.8,0.0,0.0,182.0,11.9,,1007.4,
2016-05-10,27.0,19.1,33.0,6.9,0.0,178.0,13.0,,1010.2,
2016-05-11,24.3,18.5,30.8,8.4,0.0,146.0,10.1,,1014.3,
2016-05-12,24.7,20.2,29.1,2.8,0.0,,6.1,,1018.2,
2016-05-13,26.0,21.9,30.8,0.0,0.0,,6.1,,1019.1,
2016-05-14,22.7,17.4,27.4,19.6,0.0,,2.5,,1017.2,
2016-05-15,19.6,16.9,22.4,5.8,0.0,,6.1,,,
2016-05-16,21.9,19.6,26.9,6.6,0.0,,7.2,,1011.9,
2016-05-17,22.6,18.5,28.0,5.1,0.0,,7.9,,1012.1,
2016-05-18,20.2,18.0,25.8,4.1,0.0,21.0,10.8,,1016.2,
2016-05-19,18.9,16.3,24.6,57.2,0.0,32.0,8.3,,1013.9,
2016-05-20,22.0,16.9,28.5,0.0,0.0,,5.0,,1014.7,
2016-05-21,24.5,21.3,28.5,0.0,0.0,,6.5,,1015.3,
2016-05-22,26.0,22.4,30.8,0.0,0.0,,8.6,,1012.7,
2016-05-23,24.9,21.9,29.6,0.3,0.0,140.0,11.5,,1010.9,
2016-05-24,26.9,23.5,30.8,0.0,0.0,149.0,12.2,,1012.2,
2016-05-25,27.0,25.2,30.2,0.0,0.0,163.0,10.1,,1013.7,
2016-05-26,26.6,20.2,32.4,13.2,0.0,154.0,10.8,,,
